Postcode,Percent
BR1 4,58%
BR1 5,49%
BR3 5,61%
E1 0,58%
E1 1,57%
E1 2,64%
E1 3,55%
E1 4,55%
E1 5,57%
E1 6,134%
E1 7,74%
E1 8,126%
E10 5,55%
E10 6,63%
E10 7,58%
E11 1,71%
E11 2,91%
E11 3,66%
E11 4,66%
E12 5,65%
E12 6,49%
E13 0,54%
E13 8,47%
E13 9,53%
E14 0,66%
E14 2,58%
E14 3,66%
E14 4,113%
E14 5,86%
E14 6,62%
E14 7,63%
E14 8,81%
E14 9,78%
E15 1,66%
E15 2,55%
E15 3,56%
E15 4,56%
E16 1,61%
E16 2,68%
E16 3,49%
E16 4,43%
E17 3,64%
E17 4,67%
E17 5,59%
E17 6,57%
E17 7,66%
E17 8,61%
E17 9,78%
E18 1,72%
E18 2,72%
E1W 1,114%
E1W 2,143%
E1W 3,82%
E2 0,60%
E2 6,71%
E2 7,88%
E2 8,66%
E2 9,77%
E20 1,56%
E3 2,59%
E3 3,48%
E3 4,62%
E3 5,85%
E4 6,61%
E4 7,65%
E4 8,54%
E4 9,62%
E5 0,93%
E5 8,67%
E5 9,71%
E6 1,48%
E6 2,48%
E6 3,47%
E6 5,45%
E6 6,46%
E7 0,75%
E7 8,52%
E7 9,55%
E8 1,81%
E8 2,88%
E8 3,100%
E8 4,90%
E9 5,64%
E9 6,66%
E9 7,84%
EC1A 4,101%
EC1A 7,188%
EC1A 9,78%
EC1M 3,76%
EC1M 4,93%
EC1M 5,134%
EC1M 6,100%
EC1N 2,167%
EC1N 7,126%
EC1N 8,116%
EC1R 0,145%
EC1R 1,123%
EC1R 3,143%
EC1R 4,120%
EC1R 5,119%
EC1V 0,92%
EC1V 1,169%
EC1V 2,123%
EC1V 3,101%
EC1V 4,183%
EC1V 7,89%
EC1V 8,40%
EC1V 9,64%
EC1Y 0,89%
EC1Y 1,61%
EC1Y 2,125%
EC1Y 8,122%
EC2A 1,118%
EC2A 2,108%
EC2A 3,142%
EC2A 4,114%
EC2Y 5,87%
EC2Y 8,120%
EC2Y 9,133%
EC3A 5,68%
EC3N 1,120%
EC3N 2,100%
EC3N 4,114%
EC3R 6,218%
EC3R 8,105%
EC4A 1,159%
EC4A 3,102%
EC4M 7,80%
EC4R 1,65%
EC4V 3,65%
EC4V 5,81%
EC4Y 0,110%
N1 0,118%
N1 1,139%
N1 2,127%
N1 3,90%
N1 4,107%
N1 5,82%
N1 6,81%
N1 7,94%
N1 8,162%
N1 9,119%
N10 1,94%
N10 2,111%
N10 3,126%
N11 1,62%
N11 2,81%
N11 3,65%
N12 0,68%
N12 7,111%
N12 8,72%
N12 9,70%
N13 4,69%
N13 5,66%
N13 6,55%
N14 4,76%
N14 5,78%
N14 6,85%
N14 7,98%
N15 3,67%
N15 4,59%
N15 5,62%
N15 6,84%
N16 0,106%
N16 5,74%
N16 6,87%
N16 7,86%
N16 8,85%
N16 9,94%
N17 0,45%
N17 6,65%
N17 7,53%
N17 8,38%
N17 9,55%
N18 1,48%
N18 2,43%
N19 3,75%
N19 4,92%
N19 5,72%
N1C 4,224%
N2 0,182%
N2 8,64%
N2 9,126%
N20 0,77%
N20 8,165%
N20 9,96%
N21 1,93%
N21 2,92%
N21 3,91%
N22 5,64%
N22 6,63%
N22 7,99%
N22 8,58%
N3 1,108%
N3 2,82%
N3 3,108%
N4 1,86%
N4 2,84%
N4 3,69%
N4 4,91%
N5 1,101%
N5 2,104%
N6 4,199%
N6 5,126%
N6 6,183%
N7 0,81%
N7 6,83%
N7 7,66%
N7 8,80%
N7 9,75%
N8 0,83%
N8 7,68%
N8 8,110%
N8 9,102%
N9 0,41%
N9 7,49%
N9 8,43%
N9 9,45%
NW1 0,84%
NW1 1,101%
NW1 2,120%
NW1 3,80%
NW1 4,310%
NW1 5,162%
NW1 6,125%
NW1 7,190%
NW1 8,223%
NW1 9,84%
NW10 0,42%
NW10 1,79%
NW10 2,66%
NW10 3,123%
NW10 4,69%
NW10 5,106%
NW10 6,73%
NW10 7,35%
NW10 8,52%
NW10 9,52%
NW11 0,146%
NW11 6,204%
NW11 7,185%
NW11 8,121%
NW11 9,110%
NW2 1,71%
NW2 2,116%
NW2 3,93%
NW2 4,112%
NW2 5,72%
NW2 6,62%
NW2 7,62%
NW3 1,295%
NW3 2,162%
NW3 3,155%
NW3 4,154%
NW3 5,207%
NW3 6,201%
NW3 7,205%
NW4 1,93%
NW4 2,88%
NW4 3,87%
NW4 4,72%
NW5 1,139%
NW5 2,110%
NW5 3,105%
NW5 4,85%
NW6 1,127%
NW6 2,94%
NW6 3,145%
NW6 4,90%
NW6 5,72%
NW6 6,157%
NW6 7,112%
NW7 1,94%
NW7 2,93%
NW7 3,88%
NW7 4,154%
NW8 0,300%
NW8 6,346%
NW8 7,216%
NW8 8,110%
NW8 9,249%
NW9 0,59%
NW9 4,66%
NW9 5,45%
NW9 6,60%
NW9 7,57%
NW9 8,64%
NW9 9,60%
SE1 0,149%
SE1 1,119%
SE1 2,142%
SE1 3,85%
SE1 4,89%
SE1 5,54%
SE1 6,87%
SE1 7,194%
SE1 8,121%
SE1 9,235%
SE10 0,72%
SE10 8,84%
SE10 9,72%
SE11 4,88%
SE11 5,77%
SE11 6,77%
SE12 0,59%
SE12 8,62%
SE12 9,55%
SE13 5,75%
SE13 6,56%
SE13 7,65%
SE14 5,65%
SE14 6,55%
SE15 1,75%
SE15 2,69%
SE15 3,76%
SE15 4,100%
SE15 5,68%
SE15 6,49%
SE16 2,58%
SE16 3,57%
SE16 4,67%
SE16 5,72%
SE16 6,67%
SE16 7,73%
SE17 1,80%
SE17 2,68%
SE17 3,66%
SE18 1,47%
SE18 2,48%
SE18 3,54%
SE18 4,51%
SE18 5,39%
SE18 6,67%
SE18 7,45%
SE19 1,65%
SE19 2,66%
SE19 3,59%
SE2 0,50%
SE2 9,43%
SE20 7,56%
SE20 8,48%
SE21 7,253%
SE21 8,86%
SE22 0,100%
SE22 8,91%
SE22 9,93%
SE23 1,77%
SE23 2,65%
SE23 3,65%
SE24 0,97%
SE24 9,112%
SE25 4,51%
SE25 5,46%
SE25 6,48%
SE26 4,66%
SE26 5,53%
SE26 6,67%
SE27 0,76%
SE27 9,67%
SE28 0,40%
SE28 8,36%
SE3 0,93%
SE3 7,87%
SE3 8,61%
SE3 9,75%
SE4 1,76%
SE4 2,68%
SE5 0,58%
SE5 7,62%
SE5 8,94%
SE5 9,75%
SE6 1,55%
SE6 2,55%
SE6 3,48%
SE6 4,56%
SE7 7,64%
SE7 8,61%
SE8 3,68%
SE8 4,55%
SE8 5,58%
SE9 1,69%
SE9 2,60%
SE9 3,58%
SE9 4,52%
SE9 5,54%
SE9 6,52%
SW10 0,262%
SW10 9,297%
SW11 1,106%
SW11 2,78%
SW11 3,88%
SW11 4,131%
SW11 5,100%
SW11 6,174%
SW11 7,139%
SW11 8,177%
SW12 0,97%
SW12 8,133%
SW12 9,99%
SW13 0,147%
SW13 8,174%
SW13 9,213%
SW14 7,139%
SW14 8,128%
SW15 1,140%
SW15 2,87%
SW15 3,85%
SW15 4,44%
SW15 5,106%
SW15 6,114%
SW16 1,74%
SW16 2,64%
SW16 3,71%
SW16 4,55%
SW16 5,60%
SW16 6,72%
SW17 0,73%
SW17 6,63%
SW17 7,102%
SW17 8,104%
SW17 9,76%
SW18 1,92%
SW18 2,107%
SW18 3,128%
SW18 4,68%
SW18 5,113%
SW19 1,80%
SW19 2,61%
SW19 3,104%
SW19 4,197%
SW19 5,260%
SW19 6,66%
SW19 7,196%
SW19 8,100%
SW1A 1,610%
